x, y, fib1, delta
(14, 15, 538709720, 236737790)
(4, 4, 228110234, 414928196)
(3, 7, 766819954, 974216819)
(11, 4, 994930188, 261935947)
(3, 4, 763505789, 554244163)
(11, 12, 760191624, 175235019)
(7, 12, 525453060, 335140039)
(7, 13, 287400331, 338469335)
(13, 3, 812853391, 257918525)
(11, 5, 102009369, 484627291)
(14, 9, 914862760, 760468382)
(4, 14, 18627776, 619132388)
(12, 5, 933490536, 887577692)
(5, 14, 952118312, 605073125)
(7, 14, 887364495, 564702951)
(14, 2, 841238454, 109902382)
(1, 5, 730358596, 794250065)
(10, 15, 573352697, 2568698)
(8, 2, 305466940, 312566824)
(15, 13, 878819637, 403428831)
(2, 2, 186042224, 421308450)
(0, 2, 66617508, 598716960)
(15, 4, 252659732, 388670031)
(10, 0, 319277240, 305301514)
(7, 7, 571936972, 800978295)
(0, 1, 891214212, 894887440)
(6, 4, 464906831, 563360582)
(15, 1, 357876690, 235837215)
(11, 8, 822783521, 255359883)
(6, 10, 182415858, 993664166)
(2, 4, 6955026, 654123074)
(14, 8, 189370884, 516337550)
(1, 8, 196325910, 81809281)
(11, 2, 385696794, 771819051)
(9, 1, 582022704, 207351065)
(14, 10, 967719498, 139265454)
(1, 10, 551497849, 234114465)
(5, 4, 520972994, 917251397)
(5, 6, 74226490, 958169701)
(11, 12, 595199484, 741402571)
(3, 0, 669425974, 123148035)
(0, 6, 266381105, 718859616)
(14, 4, 935807079, 780117838)
(15, 11, 203943831, 593465023)
(10, 1, 141506557, 224947994)
(8, 13, 345450388, 218062552)
(3, 9, 486956945, 34586003)
(12, 14, 832407333, 858642924)
(2, 10, 321119925, 620917154)
(2, 13, 155282905, 802454994)
(8, 10, 476402830, 2957480)
(13, 1, 631685735, 591062301)
(6, 3, 109844212, 147747638)
(3, 8, 741529947, 915213187)
(2, 14, 851374159, 881129954)
(1, 13, 594659753, 468986065)
(14, 12, 447789559, 934826958)
(9, 3, 44204959, 281201977)
(7, 14, 491994518, 784535783)
(4, 11, 536199477, 378895284)
(1, 13, 29949642, 841137873)
(0, 6, 566149119, 875092064)
(13, 5, 596098761, 765691485)
(12, 14, 164003527, 187545068)
(12, 0, 760102288, 963939340)
(14, 5, 924105815, 540295006)
(13, 15, 685963750, 586033405)
(14, 0, 611825212, 606588942)
(4, 2, 299544609, 339610148)
(2, 9, 911369821, 547420050)
(3, 6, 212670077, 840294755)
(15, 3, 125795545, 310721343)
(10, 3, 338465622, 106136378)
(10, 10, 464261167, 361727146)
(4, 3, 802726789, 807515444)
(3, 2, 268743603, 27253539)
(11, 3, 73226039, 560560187)
(4, 1, 341969642, 356386836)
(1, 2, 415195681, 531423521)
(14, 14, 757165323, 620964334)
